movement_id,item_id,movement_type,quantity,movement_date,reference_po,warehouse,created_by,notes
MOV-5340,ITEM-218,IN,16,2024-06-27,PO-3144,C1,ADMIN,Urgent
MOV-5342,ITEM-242,IN,47,2023-02-16,PO-3167,C1,admin,OK
MOV-5343,ITEM-255,OUT,90,2023-04-13,,Không xác định,kho1,
MOV-5344,ITEM-267,OUT,65,2023-02-02,,Không xác định,KHO1,
MOV-5345,ITEM-260,IN,15,2024-05-08,PO-3277,Không xác định,admin,
MOV-5346,ITEM-256,RETURN,21,2023-12-01,PO-3197,Không xác định,admin,Urgent
MOV-5347,ITEM-218,OUT,93,2024-05-18,,C1,KHO1,
MOV-5348,ITEM-244,OUT,96,2024-01-26,,A2,kho1,OK
MOV-5349,ITEM-215,IN,15,2023-04-02,PO-3175,C1,kho2,
MOV-5350,ITEM-241,OUT,95,2023-01-02,,B2,system,OK
MOV-5351,ITEM-247,ADJUSTMENT,-67,2023-08-16,,B1,kho1,
MOV-5352,ITEM-238,ADJUSTMENT,64,2024-04-11,,Không xác định,ADMIN,
MOV-5353,ITEM-277,IN,65,2023-05-07,PO-3141,B2,kho2,Urgent
MOV-5354,ITEM-249,IN,20,2023-08-04,PO-3116,B2,ADMIN,Kiểm tra lại
MOV-5355,ITEM-239,ADJUSTMENT,3,2024-02-06,,B2,system,
MOV-5356,ITEM-268,RETURN,37,2023-07-19,PO-3281,A1,ADMIN,OK
MOV-5357,ITEM-259,RETURN,74,2023-05-21,PO-3227,Không xác định,kho1,Urgent
MOV-5358,ITEM-202,IN,74,2023-04-15,PO-3076,A1,admin,OK
MOV-5359,ITEM-261,IN,16,2024-06-11,PO-3174,A2,admin,
MOV-5360,ITEM-231,OUT,39,2023-06-26,,Không xác định,ADMIN,
MOV-5361,ITEM-260,ADJUSTMENT,36,2024-03-31,,A1,system,Urgent
MOV-5362,ITEM-266,IN,76,2024-05-06,PO-3141,B2,ADMIN,Urgent
MOV-5363,ITEM-256,IN,17,2023-04-12,PO-3167,B2,ADMIN,
MOV-5364,ITEM-251,OUT,68,2024-05-15,,Không xác định,ADMIN,
MOV-5365,ITEM-227,RETURN,24,2023-07-04,PO-3003,C1,kho1,Urgent
MOV-5366,ITEM-221,IN,33,2023-02-05,PO-3044,A2,system,Urgent
MOV-5367,ITEM-201,IN,6,2024-06-15,PO-3151,B1,KHO1,OK
MOV-5368,ITEM-278,OUT,27,2023-04-12,,A2,kho1,OK
MOV-5369,ITEM-228,IN,71,2023-08-10,PO-3184,B1,kho2,Kiểm tra lại
MOV-5370,ITEM-221,OUT,11,2023-09-18,,C1,kho1,
MOV-5371,ITEM-235,RETURN,92,2024-01-17,PO-3289,A2,kho2,
MOV-5372,ITEM-256,OUT,78,2023-09-11,,Không xác định,KHO1,Kiểm tra lại
MOV-5373,ITEM-209,IN,12,2024-01-07,PO-3171,A1,admin,Kiểm tra lại
MOV-5374,ITEM-229,OUT,16,2023-06-29,,B2,admin,
MOV-5375,ITEM-245,RETURN,37,2023-10-05,PO-3051,A2,kho2,
MOV-5376,ITEM-269,OUT,52,2024-05-03,,C1,ADMIN,
MOV-5377,ITEM-217,IN,73,2023-10-01,PO-3028,Không xác định,KHO1,Kiểm tra lại
MOV-5378,ITEM-259,IN,46,2024-04-24,PO-3258,A2,kho2,Urgent
MOV-5379,ITEM-212,IN,99,2023-11-17,PO-3047,A2,KHO1,
MOV-5380,ITEM-211,RETURN,71,2024-05-19,PO-3006,A2,system,Kiểm tra lại
MOV-5382,ITEM-225,ADJUSTMENT,92,2024-03-11,,Không xác định,ADMIN,
MOV-5383,ITEM-268,RETURN,6,2024-04-04,PO-3087,A2,admin,OK
MOV-5384,ITEM-218,OUT,7,2024-03-08,,B1,ADMIN,
MOV-5385,ITEM-270,ADJUSTMENT,38,2023-11-03,,Không xác định,ADMIN,
MOV-5386,ITEM-251,IN,83,2024-06-11,PO-3019,B1,admin,
MOV-5387,ITEM-259,IN,46,2023-04-20,PO-3003,A1,system,Kiểm tra lại
MOV-5388,ITEM-226,IN,66,2023-06-07,PO-3211,B1,kho1,Kiểm tra lại
MOV-5389,ITEM-251,IN,47,2024-03-14,PO-3094,B2,kho1,
MOV-5390,ITEM-246,RETURN,1,2024-01-03,PO-3102,Không xác định,kho2,
MOV-5391,ITEM-221,RETURN,62,2023-09-30,PO-3061,A2,kho2,
MOV-5392,ITEM-252,OUT,95,2024-02-03,,A2,kho1,OK
MOV-5393,ITEM-265,IN,31,2023-02-23,PO-9491,B1,system,
MOV-5394,ITEM-255,IN,20,2024-06-07,PO-3096,A2,ADMIN,
MOV-5395,ITEM-255,IN,91,2023-04-16,PO-3258,Không xác định,kho1,
MOV-5396,ITEM-216,IN,5,2023-10-08,PO-3099,A1,system,Kiểm tra lại
MOV-5397,ITEM-268,IN,82,2023-08-25,PO-3114,A1,kho2,
MOV-5398,ITEM-235,IN,45,2024-03-04,PO-3127,Không xác định,ADMIN,OK
MOV-5399,ITEM-228,IN,36,2023-04-14,PO-3221,A1,admin,Urgent
MOV-5400,ITEM-202,RETURN,99,2023-05-14,PO-3170,C1,KHO1,OK
MOV-5401,ITEM-231,RETURN,27,2024-01-29,PO-3045,A1,KHO1,Urgent
MOV-5402,ITEM-225,IN,58,2023-04-12,PO-3039,A2,KHO1,Urgent
MOV-5403,ITEM-220,IN,25,2024-03-04,PO-3282,B1,kho2,Kiểm tra lại
MOV-5404,ITEM-216,OUT,62,2024-03-05,,A2,KHO1,OK
MOV-5405,ITEM-217,IN,73,2023-03-04,PO-3098,A1,kho1,Kiểm tra lại
MOV-5406,ITEM-266,OUT,100,2024-02-04,,A1,kho1,
MOV-5407,ITEM-228,OUT,2,2024-06-09,,B1,kho2,
MOV-5408,ITEM-229,IN,35,2023-05-02,PO-3088,A2,kho2,
MOV-5409,ITEM-235,ADJUSTMENT,83,2023-09-12,,A1,ADMIN,OK
MOV-5410,ITEM-278,IN,11,2023-09-28,PO-3069,Không xác định,admin,
MOV-5411,ITEM-246,IN,36,2023-06-30,PO-3132,A1,ADMIN,Urgent
MOV-5412,ITEM-249,RETURN,81,2023-07-31,PO-3227,A2,system,
MOV-5413,ITEM-256,IN,62,2023-04-06,PO-3254,C1,system,Urgent
MOV-5414,ITEM-224,RETURN,3,2023-11-14,PO-3084,A1,kho1,
MOV-5415,ITEM-255,IN,83,2024-02-17,PO-3052,C1,admin,Kiểm tra lại
MOV-5416,ITEM-250,IN,2,2023-02-14,PO-3068,C1,admin,
MOV-5417,ITEM-202,ADJUSTMENT,70,2023-12-13,,B2,KHO1,Kiểm tra lại
MOV-5418,ITEM-221,IN,62,2023-06-08,PO-3125,A1,admin,
MOV-5420,ITEM-229,IN,55,2024-01-30,PO-3076,B2,ADMIN,Urgent
MOV-5421,ITEM-215,OUT,15,2023-08-18,,A1,KHO1,OK
MOV-5422,ITEM-216,IN,6,2023-06-04,PO-3092,A2,ADMIN,Urgent
MOV-5423,ITEM-239,OUT,45,2023-04-17,,B1,ADMIN,
MOV-5424,ITEM-210,ADJUSTMENT,20,2023-05-31,,B2,admin,
MOV-5425,ITEM-274,OUT,36,2023-05-29,,B2,kho2,OK
MOV-5426,ITEM-264,OUT,89,2024-02-28,,Không xác định,kho1,Kiểm tra lại
MOV-5427,ITEM-254,OUT,69,2024-06-30,,B2,admin,
MOV-5428,ITEM-254,OUT,100,2023-08-13,,A2,admin,OK
MOV-5429,ITEM-272,OUT,15,2023-03-03,,B1,system,
MOV-5430,ITEM-271,OUT,27,2023-08-18,,Không xác định,kho1,Kiểm tra lại
MOV-5431,ITEM-204,RETURN,48,2023-02-25,PO-3055,A1,kho1,OK
MOV-5432,ITEM-219,IN,10,2023-01-13,PO-3292,Không xác định,kho1,Urgent
MOV-5433,ITEM-268,RETURN,61,2024-02-26,PO-9113,A1,ADMIN,
MOV-5435,ITEM-255,RETURN,71,2023-09-22,PO-3293,B1,admin,
MOV-5436,ITEM-249,IN,28,2024-02-15,PO-3029,C1,admin,
MOV-5437,ITEM-260,OUT,84,2024-02-19,,Không xác định,system,
MOV-5439,ITEM-237,IN,14,2023-03-08,PO-3109,A2,ADMIN,
MOV-5440,ITEM-231,IN,73,2023-02-15,PO-3289,B1,admin,OK
MOV-5441,ITEM-237,OUT,25,2023-11-19,,Không xác định,ADMIN,
MOV-5442,ITEM-243,OUT,65,2023-04-14,,C1,system,Kiểm tra lại
MOV-5443,ITEM-276,ADJUSTMENT,38,2023-06-15,,A1,ADMIN,
MOV-5444,ITEM-228,ADJUSTMENT,99,2023-06-14,,C1,ADMIN,
MOV-5445,ITEM-244,OUT,44,2023-10-25,,A1,ADMIN,
MOV-5446,ITEM-250,IN,79,2023-03-18,PO-3079,A2,kho2,
MOV-5447,ITEM-212,OUT,59,2023-11-18,,B1,KHO1,OK
MOV-5448,ITEM-246,IN,23,2024-04-16,PO-3133,Không xác định,kho1,
MOV-5449,ITEM-273,OUT,47,2023-10-21,,A2,system,OK
MOV-5450,ITEM-266,ADJUSTMENT,41,2024-01-18,,B1,ADMIN,
MOV-5452,ITEM-214,IN,21,2024-02-13,PO-3038,B2,system,Urgent
MOV-5453,ITEM-269,ADJUSTMENT,14,2023-03-29,,B2,kho1,Kiểm tra lại
MOV-5454,ITEM-243,IN,44,2024-05-12,PO-3109,C1,kho1,Kiểm tra lại
MOV-5455,ITEM-219,RETURN,41,2023-02-02,PO-3195,A2,admin,
MOV-5456,ITEM-203,ADJUSTMENT,35,2023-09-16,,B1,system,
MOV-5457,ITEM-239,ADJUSTMENT,54,2024-06-21,,A1,admin,Kiểm tra lại
MOV-5458,ITEM-244,ADJUSTMENT,22,2023-07-23,,C1,ADMIN,
MOV-5459,ITEM-221,RETURN,46,2024-02-03,PO-3006,Không xác định,KHO1,
MOV-5460,ITEM-219,IN,94,2023-11-21,PO-3008,A1,ADMIN,Kiểm tra lại
MOV-5461,ITEM-234,OUT,1,2024-04-06,,B2,ADMIN,
MOV-5462,ITEM-213,IN,96,2023-07-12,PO-3216,B1,kho1,
MOV-5463,ITEM-274,IN,47,2023-01-17,PO-3155,B2,ADMIN,Kiểm tra lại
MOV-5464,ITEM-253,OUT,46,2024-03-12,,A2,system,Kiểm tra lại
MOV-5465,ITEM-248,IN,77,2023-06-16,PO-3278,B2,ADMIN,OK
MOV-5466,ITEM-280,ADJUSTMENT,-12,2023-04-17,,A1,system,Urgent
MOV-5467,ITEM-280,OUT,82,2024-03-30,,B1,system,
MOV-5468,ITEM-229,ADJUSTMENT,71,2024-01-26,,B1,system,Kiểm tra lại
MOV-5469,ITEM-251,IN,29,2024-06-03,PO-3146,Không xác định,kho1,
MOV-5470,ITEM-254,IN,4,2023-06-07,PO-3192,B1,kho1,
MOV-5471,ITEM-256,IN,51,2023-07-17,PO-3202,Không xác định,system,Urgent
MOV-5472,ITEM-223,OUT,67,2023-06-12,,C1,admin,Urgent
MOV-5473,ITEM-274,ADJUSTMENT,98,2023-09-24,,A2,admin,
MOV-5475,ITEM-270,IN,49,2023-01-26,PO-3067,A2,ADMIN,
MOV-5476,ITEM-239,IN,32,2024-01-23,PO-3134,A1,ADMIN,
MOV-5477,ITEM-214,IN,77,2023-05-06,PO-3055,B2,kho2,
MOV-5478,ITEM-227,OUT,63,2023-01-23,,A1,kho1,Urgent
MOV-5479,ITEM-254,OUT,82,2024-04-06,,A2,ADMIN,
MOV-5480,ITEM-278,ADJUSTMENT,16,2023-12-18,,C1,KHO1,
MOV-5481,ITEM-221,OUT,33,2023-05-05,,C1,KHO1,
MOV-5482,ITEM-220,IN,15,2023-08-11,PO-3016,B1,kho2,Kiểm tra lại
MOV-5483,ITEM-226,IN,91,2023-10-29,PO-3240,A2,kho2,
MOV-5484,ITEM-226,RETURN,51,2023-04-16,PO-3299,Không xác định,system,Kiểm tra lại
MOV-5485,ITEM-258,OUT,96,2023-10-06,,B2,system,
MOV-5486,ITEM-273,IN,81,2023-03-07,PO-3231,B2,kho2,
MOV-5487,ITEM-268,IN,4,2023-04-28,PO-3093,A1,kho1,Urgent
MOV-5489,ITEM-202,RETURN,28,2024-04-21,PO-3291,B1,KHO1,
MOV-5490,ITEM-268,IN,72,2023-10-12,PO-3039,B1,kho2,
MOV-5491,ITEM-226,IN,64,2023-02-17,PO-3141,C1,system,
MOV-5492,ITEM-274,IN,3,2023-01-05,PO-3237,C1,admin,OK
MOV-5493,ITEM-203,IN,13,2024-03-01,PO-3155,B1,system,
MOV-5494,ITEM-207,OUT,90,2024-04-10,,B1,KHO1,
MOV-5495,ITEM-204,IN,2,2023-05-23,PO-3054,A2,admin,
MOV-5496,ITEM-248,ADJUSTMENT,1,2023-02-23,,A1,kho2,
MOV-5497,ITEM-234,IN,79,2024-01-24,PO-3139,A2,kho2,
MOV-5498,ITEM-219,ADJUSTMENT,53,2024-04-02,,C1,system,Urgent
MOV-5499,ITEM-263,IN,99,2024-05-09,PO-3116,C1,kho1,Urgent
MOV-5500,ITEM-227,RETURN,10,2024-05-21,PO-3031,A2,system,
MOV-5501,ITEM-244,IN,98,2024-06-24,PO-3264,Không xác định,kho1,
MOV-5502,ITEM-265,IN,29,2024-01-08,PO-3198,A2,admin,OK
MOV-5503,ITEM-255,IN,40,2023-04-15,PO-3076,B2,kho1,OK
MOV-5504,ITEM-204,OUT,68,2024-04-08,,A1,kho2,Kiểm tra lại
MOV-5505,ITEM-228,IN,65,2024-03-17,PO-3261,Không xác định,system,Urgent
MOV-5506,ITEM-255,IN,25,2024-02-17,PO-3091,A1,ADMIN,
MOV-5507,ITEM-232,IN,15,2023-02-24,PO-3019,A2,KHO1,Urgent
MOV-5508,ITEM-252,OUT,13,2023-08-14,,B2,kho1,
MOV-5509,ITEM-227,IN,37,2023-10-22,PO-3002,Không xác định,kho2,
MOV-5510,ITEM-231,IN,88,2023-03-13,PO-3086,Không xác định,system,Kiểm tra lại
MOV-5511,ITEM-243,IN,34,2023-03-20,PO-3088,C1,admin,Kiểm tra lại
MOV-5512,ITEM-232,OUT,6,2023-01-18,,C1,KHO1,
MOV-5513,ITEM-219,ADJUSTMENT,13,2023-11-08,,Không xác định,kho2,
MOV-5515,ITEM-246,IN,43,2024-06-14,PO-3248,A2,system,
MOV-5516,ITEM-229,RETURN,46,2024-05-24,PO-3016,A2,ADMIN,
MOV-5517,ITEM-225,OUT,14,2023-10-08,,C1,kho1,OK
MOV-5518,ITEM-245,IN,76,2024-03-03,PO-3142,C1,admin,Kiểm tra lại
MOV-5519,ITEM-259,OUT,37,2023-04-23,,A2,system,Urgent
MOV-5520,ITEM-220,OUT,80,2023-06-16,,A1,system,
MOV-5521,ITEM-228,IN,16,2023-02-24,PO-3251,A1,kho2,
MOV-5522,ITEM-245,IN,86,2023-06-08,PO-3045,C1,admin,OK
MOV-5523,ITEM-229,IN,46,2023-09-12,PO-3198,B1,KHO1,OK
MOV-5524,ITEM-223,OUT,87,2023-11-27,,B1,kho1,Kiểm tra lại
MOV-5525,ITEM-271,IN,40,2023-03-29,PO-3153,B2,admin,
MOV-5526,ITEM-268,OUT,41,2024-05-30,,B1,system,Kiểm tra lại
MOV-5527,ITEM-254,OUT,4,2023-01-28,,C1,kho2,
MOV-5528,ITEM-232,OUT,48,2023-05-11,,A1,system,
MOV-5529,ITEM-252,RETURN,60,2024-06-14,PO-3236,A1,kho2,
MOV-5530,ITEM-213,ADJUSTMENT,73,2024-05-08,,Không xác định,KHO1,Urgent
MOV-5531,ITEM-266,RETURN,90,2023-07-29,PO-3265,Không xác định,ADMIN,
MOV-5532,ITEM-220,IN,40,2023-01-07,PO-3249,C1,admin,
MOV-5533,ITEM-213,IN,14,2024-04-30,PO-3013,B1,system,Kiểm tra lại
MOV-5534,ITEM-224,ADJUSTMENT,70,2023-09-24,,C1,admin,Kiểm tra lại
MOV-5535,ITEM-219,RETURN,24,2023-05-26,PO-3124,B2,kho2,OK
MOV-5536,ITEM-213,OUT,48,2023-10-09,,B2,system,
MOV-5537,ITEM-255,IN,37,2024-04-13,PO-3062,Không xác định,ADMIN,
MOV-5538,ITEM-257,IN,18,2024-04-24,PO-3235,A2,kho2,Urgent
MOV-5539,ITEM-268,OUT,9,2023-06-28,,C1,kho2,Kiểm tra lại
MOV-5540,ITEM-218,IN,39,2024-02-08,PO-3035,C1,ADMIN,
MOV-5541,ITEM-274,RETURN,100,2024-06-22,PO-3133,C1,KHO1,
MOV-5542,ITEM-252,IN,4,2023-06-12,PO-3119,B1,kho1,
MOV-5543,ITEM-231,IN,94,2024-01-29,PO-3216,Không xác định,admin,Kiểm tra lại
MOV-5544,ITEM-248,OUT,4,2023-06-28,,A2,ADMIN,
MOV-5545,ITEM-272,IN,33,2024-05-17,PO-3225,C1,kho1,
MOV-5546,ITEM-275,IN,86,2023-04-09,PO-9792,C1,KHO1,
MOV-5547,ITEM-210,IN,88,2024-06-24,PO-3255,B1,kho2,
MOV-5548,ITEM-272,ADJUSTMENT,9,2024-03-25,,C1,admin,
MOV-5549,ITEM-267,IN,16,2024-05-25,PO-9841,B1,system,Urgent
MOV-5550,ITEM-246,IN,37,2023-03-18,PO-3274,B1,system,
MOV-5551,ITEM-208,OUT,15,2024-04-27,,A1,admin,OK
MOV-5552,ITEM-254,IN,43,2023-03-02,PO-3072,A1,kho1,Kiểm tra lại
MOV-5553,ITEM-210,ADJUSTMENT,79,2023-02-06,,C1,ADMIN,
MOV-5554,ITEM-211,OUT,17,2023-10-05,,C1,kho1,Urgent
MOV-5556,ITEM-208,IN,69,2024-01-24,PO-3010,A2,system,Urgent
MOV-5557,ITEM-255,OUT,15,2024-03-24,,B1,kho1,OK
MOV-5558,ITEM-256,IN,30,2023-04-05,PO-3006,C1,admin,
MOV-5559,ITEM-202,ADJUSTMENT,8,2023-03-20,,A1,kho2,OK
MOV-5560,ITEM-278,RETURN,38,2023-05-13,PO-3204,C1,kho1,Kiểm tra lại
MOV-5561,ITEM-246,ADJUSTMENT,57,2023-11-06,,Không xác định,kho1,
MOV-5562,ITEM-235,IN,70,2024-05-30,PO-3054,B2,kho2,
MOV-5563,ITEM-227,IN,30,2023-11-09,PO-3284,A1,kho1,Urgent
MOV-5564,ITEM-257,RETURN,15,2023-01-22,PO-3256,A1,admin,OK
MOV-5565,ITEM-279,OUT,3,2024-01-27,,B2,kho1,Urgent
MOV-5566,ITEM-256,OUT,85,2023-11-09,,C1,kho2,
MOV-5567,ITEM-234,ADJUSTMENT,28,2023-01-29,,B2,ADMIN,Urgent
MOV-5568,ITEM-208,ADJUSTMENT,71,2024-02-02,,C1,system,Kiểm tra lại
MOV-5569,ITEM-274,RETURN,99,2024-06-15,PO-3134,A2,admin,OK
MOV-5570,ITEM-236,IN,99,2023-10-30,PO-3173,Không xác định,kho2,
MOV-5571,ITEM-278,IN,40,2023-11-25,PO-9009,A1,kho2,Kiểm tra lại
MOV-5572,ITEM-272,IN,8,2023-03-23,PO-3142,A2,kho2,
MOV-5573,ITEM-236,IN,17,2023-08-21,PO-3090,Không xác định,admin,
MOV-5574,ITEM-265,ADJUSTMENT,75,2023-11-21,,Không xác định,kho2,OK
MOV-5575,ITEM-203,RETURN,70,2023-02-15,PO-3121,A1,kho1,
MOV-5576,ITEM-242,OUT,88,2024-03-01,,A2,admin,OK
MOV-5577,ITEM-278,ADJUSTMENT,43,2024-02-22,,C1,admin,
MOV-5578,ITEM-248,IN,20,2023-01-27,PO-3055,C1,KHO1,Urgent
MOV-5579,ITEM-245,IN,75,2023-02-03,PO-3077,A2,KHO1,
MOV-5580,ITEM-274,RETURN,94,2024-03-04,PO-3276,C1,system,Urgent
MOV-5581,ITEM-268,OUT,41,2023-10-03,,B1,kho1,
MOV-5582,ITEM-247,IN,41,2023-04-29,PO-3124,B1,KHO1,
MOV-5583,ITEM-210,IN,62,2023-08-24,PO-3230,C1,kho1,
MOV-5584,ITEM-253,RETURN,86,2023-05-22,PO-3134,B2,KHO1,
MOV-5585,ITEM-274,OUT,99,2023-07-22,,A2,admin,Kiểm tra lại
MOV-5586,ITEM-234,ADJUSTMENT,92,2024-04-26,,B2,admin,Urgent
MOV-5587,ITEM-222,IN,66,2024-06-26,PO-3199,A2,ADMIN,OK
MOV-5588,ITEM-216,IN,76,2023-04-21,PO-3024,Không xác định,system,Urgent
MOV-5589,ITEM-256,IN,90,2023-05-18,PO-3094,A1,kho1,
MOV-5590,ITEM-276,OUT,87,2024-04-09,,Không xác định,KHO1,OK
MOV-5591,ITEM-213,IN,64,2023-12-16,PO-3025,B1,kho2,Kiểm tra lại
MOV-5592,ITEM-241,ADJUSTMENT,19,2023-02-12,,A2,system,
MOV-5593,ITEM-236,OUT,41,2023-04-12,,B1,system,Kiểm tra lại
MOV-5594,ITEM-229,IN,34,2023-04-19,PO-3119,A2,admin,
MOV-5595,ITEM-206,OUT,25,2023-01-07,,A2,kho2,
MOV-5596,ITEM-255,RETURN,67,2023-05-10,PO-3233,B2,system,Kiểm tra lại
MOV-5597,ITEM-234,IN,36,2023-04-30,PO-3182,B1,kho1,
MOV-5598,ITEM-243,IN,81,2024-06-09,PO-3038,A1,ADMIN,
MOV-5599,ITEM-267,IN,72,2023-02-06,PO-3005,Không xác định,kho1,OK
MOV-5600,ITEM-261,IN,24,2024-05-23,PO-3145,Không xác định,ADMIN,
MOV-5601,ITEM-201,OUT,63,2023-08-02,,B1,KHO1,Kiểm tra lại
MOV-5602,ITEM-275,IN,45,2024-05-10,PO-3272,B1,ADMIN,Kiểm tra lại
MOV-5603,ITEM-263,ADJUSTMENT,77,2024-01-01,,A1,kho2,Kiểm tra lại
MOV-5604,ITEM-258,IN,85,2024-03-11,PO-3060,Không xác định,system,Urgent
MOV-5605,ITEM-217,ADJUSTMENT,-63,2024-02-26,,C1,kho1,
MOV-5606,ITEM-253,IN,99,2023-11-27,PO-3134,B2,kho2,
MOV-5607,ITEM-235,OUT,29,2023-12-14,,B2,kho1,
MOV-5608,ITEM-222,OUT,100,2023-04-23,,A2,KHO1,
MOV-5609,ITEM-203,RETURN,49,2023-04-03,PO-3171,A1,KHO1,
MOV-5610,ITEM-247,OUT,21,2024-02-10,,B1,kho2,Kiểm tra lại
MOV-5611,ITEM-228,OUT,32,2023-01-14,,A1,KHO1,Kiểm tra lại
MOV-5612,ITEM-263,IN,37,2023-11-05,PO-3013,Không xác định,admin,
MOV-5613,ITEM-249,RETURN,17,2023-10-04,PO-3044,B2,admin,
MOV-5614,ITEM-270,OUT,13,2024-02-05,,B1,system,
MOV-5615,ITEM-203,IN,59,2023-07-27,PO-3052,B2,admin,
MOV-5616,ITEM-253,OUT,62,2023-10-19,,B2,admin,Kiểm tra lại
MOV-5617,ITEM-251,IN,92,2023-04-21,PO-3232,B2,kho2,Kiểm tra lại
MOV-5618,ITEM-273,IN,40,2023-12-07,PO-3074,A2,system,
MOV-5619,ITEM-232,IN,52,2024-04-29,PO-3268,B1,system,OK
MOV-5620,ITEM-244,ADJUSTMENT,5,2023-11-26,,B1,ADMIN,
MOV-5621,ITEM-272,ADJUSTMENT,70,2024-05-26,,B2,ADMIN,Kiểm tra lại
MOV-5622,ITEM-266,OUT,94,2023-03-25,,B2,kho1,
MOV-5623,ITEM-202,IN,96,2023-05-05,PO-3086,B2,kho1,Urgent
MOV-5624,ITEM-268,OUT,96,2024-03-04,,B1,ADMIN,Urgent
MOV-5625,ITEM-235,OUT,79,2024-01-16,,C1,ADMIN,
MOV-5626,ITEM-279,RETURN,67,2023-09-15,PO-3242,A2,kho1,
MOV-5627,ITEM-261,IN,54,2023-07-03,PO-9718,A2,ADMIN,
MOV-5628,ITEM-269,OUT,13,2023-03-04,,B1,ADMIN,
MOV-5629,ITEM-229,IN,2,2023-07-17,PO-3141,B1,kho2,
MOV-5630,ITEM-252,IN,70,2023-07-27,PO-3040,B1,KHO1,
MOV-5631,ITEM-217,ADJUSTMENT,76,2024-01-28,,C1,kho2,
MOV-5632,ITEM-279,RETURN,27,2023-06-22,PO-3002,A2,kho1,
MOV-5633,ITEM-261,ADJUSTMENT,42,2023-03-21,,B2,system,Urgent
MOV-5634,ITEM-261,IN,65,2023-05-01,PO-3124,B1,kho2,
MOV-5635,ITEM-267,IN,11,2023-08-08,PO-3086,C1,system,Kiểm tra lại
MOV-5636,ITEM-233,RETURN,72,2024-03-21,PO-3179,B1,ADMIN,Kiểm tra lại
MOV-5637,ITEM-228,OUT,25,2024-01-27,,A2,system,OK
MOV-5638,ITEM-268,IN,76,2023-11-14,PO-3169,C1,kho2,
MOV-5639,ITEM-236,RETURN,51,2023-02-14,PO-3130,Không xác định,system,
MOV-5640,ITEM-259,OUT,61,2023-04-17,,A2,ADMIN,Urgent
MOV-5641,ITEM-223,ADJUSTMENT,11,2024-03-05,,Không xác định,ADMIN,
MOV-5642,ITEM-241,IN,36,2023-07-18,PO-3009,A2,KHO1,Urgent
MOV-5643,ITEM-247,OUT,86,2024-02-17,,A1,kho1,
MOV-5644,ITEM-265,IN,35,2023-03-27,PO-3089,B2,kho1,Urgent
MOV-5645,ITEM-201,IN,72,2023-12-26,PO-3061,B2,admin,
MOV-5646,ITEM-212,IN,12,2023-07-10,PO-3163,A2,ADMIN,OK
MOV-5647,ITEM-259,IN,32,2023-11-12,PO-3098,Không xác định,kho2,
MOV-5648,ITEM-236,IN,41,2024-02-28,PO-3116,B1,ADMIN,Kiểm tra lại
MOV-5649,ITEM-234,IN,46,2024-01-08,PO-3179,A2,admin,
MOV-5650,ITEM-275,OUT,69,2023-08-04,,Không xác định,kho2,
MOV-5651,ITEM-244,RETURN,71,2023-10-03,PO-3047,A1,admin,
MOV-5652,ITEM-224,OUT,60,2023-11-27,,A1,kho2,Urgent
MOV-5653,ITEM-214,RETURN,2,2023-06-12,PO-3216,B1,kho2,
MOV-5654,ITEM-260,OUT,97,2023-01-23,,C1,ADMIN,Kiểm tra lại
MOV-5655,ITEM-252,OUT,33,2024-01-18,,B1,admin,
MOV-5656,ITEM-265,IN,55,2023-10-03,PO-3296,C1,ADMIN,
MOV-5657,ITEM-226,OUT,17,2023-12-08,,B1,kho1,
MOV-5659,ITEM-219,IN,39,2023-11-11,PO-3042,A2,kho1,Urgent
MOV-5660,ITEM-272,ADJUSTMENT,1,2024-05-03,,Không xác định,system,Urgent
MOV-5661,ITEM-228,OUT,49,2024-04-19,,B2,kho1,OK
MOV-5662,ITEM-218,OUT,37,2024-03-10,,B2,ADMIN,Urgent
MOV-5663,ITEM-276,IN,78,2023-07-02,PO-3121,C1,system,
MOV-5664,ITEM-230,IN,25,2023-02-15,PO-3109,B2,kho1,OK
MOV-5665,ITEM-240,OUT,62,2023-02-05,,A2,system,Urgent
MOV-5666,ITEM-267,ADJUSTMENT,60,2023-03-26,,B2,admin,
MOV-5668,ITEM-252,OUT,39,2024-03-11,,B2,KHO1,OK
MOV-5669,ITEM-261,RETURN,69,2024-01-09,PO-3058,Không xác định,admin,
MOV-5670,ITEM-201,IN,76,2023-09-22,PO-3102,A1,system,OK
MOV-5671,ITEM-206,IN,59,2024-01-11,PO-3026,Không xác định,kho2,
MOV-5672,ITEM-204,OUT,23,2023-10-28,,B1,ADMIN,
MOV-5673,ITEM-277,IN,94,2023-02-07,PO-3273,A2,ADMIN,
MOV-5674,ITEM-264,OUT,45,2024-04-14,,C1,KHO1,Kiểm tra lại
MOV-5675,ITEM-206,IN,48,2023-02-09,PO-3076,B2,KHO1,Urgent
MOV-5676,ITEM-211,IN,96,2023-11-06,PO-3217,Không xác định,ADMIN,
MOV-5677,ITEM-256,IN,74,2023-09-25,PO-3156,A1,kho2,
MOV-5678,ITEM-261,IN,36,2023-07-10,PO-3142,Không xác định,kho2,OK
MOV-5679,ITEM-201,OUT,3,2024-02-29,,C1,ADMIN,OK
MOV-5680,ITEM-213,IN,3,2023-11-29,PO-3114,C1,system,Urgent
