po_id,supplier_id,item_id,order_date,expected_date,quantity,unit_cost_vnd,total_amount,currency,status,notes
PO-3263,SUP-147,ITEM-230,2023-07-17,2023-08-05,282,196000,55272000,VND,received,Hàng dễ vỡ
PO-3264,SUP-130,ITEM-255,2023-07-04,2023-07-24,462,57000,26334000,VND,received,
PO-3265,SUP-124,ITEM-253,2023-11-28,2023-12-20,401,318000,127518000,VND,cancelled,Cần hóa đơn VAT
PO-3266,SUP-101,ITEM-205,2024-06-14,2024-06-21,155,300000,46500000,VND,approved,
PO-3267,SUP-133,ITEM-272,2023-06-08,2023-06-14,302,463000,139826000,VND,pending,
PO-3268,SUP-126,ITEM-273,2023-03-21,2023-04-16,479,113000,54127000,VND,approved,
PO-3269,SUP-147,ITEM-274,2023-02-27,2023-03-26,205,44000,9020000,VND,pending,Hàng dễ vỡ
PO-3270,SUP-150,ITEM-249,2023-02-12,2023-02-25,37,156000,5772000,VND,cancelled,
PO-3271,SUP-139,ITEM-274,2024-03-18,2024-03-30,268,50000,13400000,VND,approved,
PO-3272,SUP-126,ITEM-265,2023-05-14,2023-06-10,232,388000,90016000,VND,approved,
PO-3273,SUP-105,ITEM-235,2023-04-02,2023-04-08,407,218000,88726000,VND,pending,Giao hàng khẩn
PO-3274,SUP-140,ITEM-257,2023-02-15,2023-03-16,329,77000,25333000,VND,approved,
PO-3275,SUP-110,ITEM-237,2023-04-24,2023-04-20,17,175000,2975000,VND,cancelled,
PO-3276,SUP-921,ITEM-219,2023-01-19,2023-02-03,365,351000,128115000,VND,approved,
PO-3277,SUP-130,ITEM-202,2023-10-05,2023-10-29,44,197000,8668000,VND,approved,Cần hóa đơn VAT
PO-3279,SUP-116,ITEM-268,2024-02-07,2024-03-04,166,170000,28220000,VND,pending,Hàng dễ vỡ
PO-3280,SUP-117,ITEM-250,2023-01-31,2023-02-20,465,500000,232500000,VND,approved,Cần hóa đơn VAT
PO-3281,SUP-116,ITEM-274,2023-11-16,2023-12-08,88,216000,19008000,VND,approved,Hàng dễ vỡ
PO-3282,SUP-146,ITEM-268,2023-05-29,2023-06-21,475,72000,34200000,VND,received,
PO-3283,SUP-110,ITEM-204,2024-02-28,2024-03-15,401,163000,65363000,VND,pending,
PO-3284,SUP-112,ITEM-204,2023-10-01,2023-10-23,400,493000,197200000,VND,pending,
PO-3285,SUP-139,ITEM-261,2023-07-08,2023-08-07,374,327000,122298000,VND,cancelled,
PO-3286,SUP-148,ITEM-226,2023-07-01,2023-07-18,397,106000,42082000,VND,cancelled,Hàng dễ vỡ
PO-3287,SUP-121,ITEM-251,2024-06-21,2024-07-14,323,470000,151810000,VND,cancelled,Hàng dễ vỡ
PO-3288,SUP-103,ITEM-272,2023-02-20,2023-03-01,208,260000,54080000,VND,pending,Hàng dễ vỡ
PO-3289,SUP-134,ITEM-219,2024-04-07,2024-04-12,247,416000,102752000,VND,cancelled,Giao hàng khẩn
PO-3290,SUP-129,ITEM-204,2023-07-26,2023-08-12,101,230000,23230000,VND,pending,
PO-3291,SUP-146,ITEM-258,2024-06-20,2024-07-15,334,185000,61790000,VND,pending,Giao hàng khẩn
PO-3292,SUP-137,ITEM-220,2023-07-03,2023-07-30,93,435000,40455000,VND,pending,
PO-3293,SUP-113,ITEM-201,2023-01-13,2023-01-30,328,384000,125952000,VND,cancelled,Cần hóa đơn VAT
PO-3294,SUP-127,ITEM-257,2023-01-07,2023-01-17,50,303000,15150000,VND,pending,Hàng dễ vỡ
PO-3295,SUP-123,ITEM-205,2023-11-02,2023-11-15,84,428000,35952000,VND,pending,Cần hóa đơn VAT
PO-3296,SUP-148,ITEM-275,2023-04-06,2023-05-03,194,466000,90404000,VND,approved,Cần hóa đơn VAT
PO-3297,SUP-109,ITEM-216,2023-12-04,2023-12-23,365,430000,156950000,VND,pending,Cần hóa đơn VAT
PO-3298,SUP-147,ITEM-278,2023-10-22,2023-11-07,488,395000,192760000,VND,cancelled,
PO-3299,SUP-147,ITEM-264,2023-08-27,2023-09-21,262,405000,106110000,VND,cancelled,Cần hóa đơn VAT
PO-3300,SUP-103,ITEM-243,2023-08-06,2023-08-09,189,282000,53298000,VND,pending,
